194, 482, 35.90, 0.49, 2.28, 0.26, 36.30
195, 483, 34.70, 1.60, 2.30, 0.26, 37.00
196, 482, 35.00, 0.46, 2.01, 0.26, 36.30
197, 483, 36.20, 0.35, 1.69, 0.26, 37.30
199, 124, 34.80, 0.44, 7.01, 0.08, 36.30
200, 482, 34.90, 0.63, 2.65, 0.26, 37.50
201, 483, 36.10, 0.41, 2.74, 0.26, 36.50
202, 483, 34.90, -0.46, 0.12, 0.26, 35.90
4, 94, 40.10, 0.53, 8.76, 0.08, 31.20
5, 538, 39.50, 0.84, 3.77, 0.26, 31.10
6, 538, 40.80, 0.81, 3.62, 0.26, 31.30
8, 325, 40.30, 0.81, 5.24, 0.20, 31.40
9, 539, 39.90, 0.67, 3.08, 0.26, 31.40
10, 20, 40.30, 0.35, 5.21, 0.08, 31.20
11, 540, 39.70, 0.62, 2.87, 0.26, 30.90
12, 538, 40.70, 0.75, 3.42, 0.26, 31.60
14, 388, 40.30, 0.95, 5.11, 0.23, 31.70
15, 539, 39.90, 0.75, 3.35, 0.26, 31.70
54, 261, 39.80, 0.72, 5.75, 0.17, 31.50
148, 509, 40.40, 0.64, 2.91, 0.26, 32.40
149, 541, 39.50, 0.59, 2.63, 0.26, 32.70
151, 541, 40.70, 0.57, 2.66, 0.26, 33.00
152, 145, 40.50, 0.40, 6.52, 0.08, 32.70
153, 542, 40.00, 0.58, 2.69, 0.26, 32.40
158, 17, 40.20, 0.32, 4.74, 0.08, 33.30
159, 541, 40.60, 0.59, 2.72, 0.26, 32.70
160, 542, 40.20, 0.57, 2.65, 0.26, 33.50
161, 541, 40.90, 0.61, 2.79, 0.26, 33.50
7, 537, 39.40, 0.48, 2.14, 0.26, 26.50
8, 541, 40.60, 0.49, 2.29, 0.26, 27.40
5, 451, 40.60, 1.06, 5.04, 0.26, 28.90
6, 537, 39.60, 0.71, 3.26, 0.26, 28.50
7, 0, 39.50, 0.00, 0.00, 0.00, 26.30
8, 535, 40.20, 0.56, 2.55, 0.26, 25.80
1, 260, 40.50, 0.78, 6.01, 0.17, 25.60
2, 167, 39.70, 0.31, 5.00, 0.08, 25.00
1, 508, 39.50, 0.69, 3.18, 0.26, 25.70
3, 388, 39.50, 0.94, 5.07, 0.23, 26.10
5, 453, 40.50, 1.05, 4.99, 0.26, 26.20
1, 452, 40.40, 1.00, 4.80, 0.26, 26.30
2, 541, 39.90, 0.61, 2.77, 0.26, 25.70
5, 537, 40.60, 0.60, 2.79, 0.26, 26.40
7, 528, 39.60, 0.62, 2.83, 0.26, 26.40
9, 453, 40.00, 0.99, 4.71, 0.26, 26.20
10, 542, 39.60, 0.58, 2.60, 0.26, 26.30
12, 162, 40.30, 0.43, 5.66, 0.11, 26.20
13, 542, 40.70, 0.55, 2.44, 0.26, 26.20
14, 147, 40.10, 0.26, 4.20, 0.08, 26.20
3, 391, 40.50, 0.76, 4.21, 0.23, 26.20
4, 541, 40.00, 0.56, 2.57, 0.26, 26.30
717, 242, 40.80, 4.52, 29.42, 0.20, 32.10
812, 244, 40.40, 5.95, 37.32, 0.13, 31.60
